"index","lastName","givenName","lastNameKana","givenNameKana","nationality","birthYear","birthMonth","birthDay","gender","telephone","postalCode","prefecture","city","street","building","email","pledgedAmount","confirmedPledgedAmount","bankCode","branchCode","accountNumber","accountType","accountName","eposnetCustomerId","bankName","branchName","investmentExperiencesStock","investmentExperiencesPublicBond","investmentExperiencesInvestmentTrust","investmentExperiencesFutures","investmentExperiencesForeignCurrencyDeposits","investmentExperiencesForexMarginTrading","investmentExperiencesMarginTrading","financialWorkExperience","foreignPoliticallyExposedPerson","incomeSource","job","annualIncome","assetAmount","assetType","investmentPurpose","investmentPolicy","kycStatus","identificationStatus","howYouKnowThisProductByHomePage","howYouKnowThisProductByNewsRelease","howYouKnowThisProductByEposCardMail","howYouKnowThisProductByFriend","howYouKnowThisProductBySns","howYouKnowThisProductByOtherWay","howYouKnowThisProductByOtherWayComment","whyYouChooseThisProductBecauseAgreeWithConcept","whyYouChooseThisProductBecauseInterestIsGood","whyYouChooseThisProductBecauseEposPointsGiven","whyYouChooseThisProductBecauseBonusPointsAdded","whyYouChooseThisProductBecauseReasonablePrice","whyYouChooseThisProductBecauseOtherReason","whyYouChooseThisProductBecauseOtherReasonComment","reserved01","reserved02","reserved03","reserved04","reserved05","reserved06","reserved07","reserved08","reserved09","reserved10","reserved11","reserved12","reserved13","reserved14","reserved15","reserved16","reserved17","reserved18","reserved19","reserved20"
"a041","長内","宗平","オサナイ","ソウヘイ","日本",1993,5,11,"男性","0582388966","5021651","岐阜県","岐阜市","北鶉4-1-7",,,50,0,,,,,,,,,"5年未満","5年以上","1年未満","3年未満","5年以上","1年未満","1年未満","無し","該当しません","その他","大学生・大学院生","1,000～2,000万円","300万円未満","生活資金","長期的な資産運用として","高い利回り・大幅な値上がり益を追求",,,"No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No",,,,,,,,,,,,,,,,,,,,
"a042","橋野","久美子","ハシノ","クミコ","日本",1999,3,13,"女性","09001003618","1479066","東京都","港区","西麻布2-2-9",,,50,50,,,,,,,,,"なし","5年以上","5年未満","なし","5年未満","3年未満","3年未満","無し","該当しません","世帯主の収入","会社員（契約社員）","500～1,000万円","5,000～万円～1億円","余裕資金","長期的な資産運用として","利回り・値上がり益を追求",,,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No",,,,,,,,,,,,,,,,,,,,
"a043","高木","英男","タカギ","ヒデオ","日本",1975,12,11,"男性","08064393930","3221022","栃木県","宇都宮市","西川田本町3-1-501","アウレリア506",,10,10,,,,,,,,,"3年未満","なし","5年未満","3年未満","3年未満","1年未満","3年未満","無し","該当しません","不動産収入","大学生・大学院生","3,000万円以上","5,000～万円～1億円","準備資金","長期的な資産運用として","元本の安全性重視",,,"No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes",,,,,,,,,,,,,,,,,,,,
"a044","本間","真由美","ホンマ","マユミ","日本",1964,12,1,,"09028547747","0718648","北海道","札幌市中央区","南八条西1-3-6","エヌヴィ509",,10,10,,,,,,,,,"1年未満","5年未満","3年未満","5年以上","5年未満","5年未満","5年未満","無し","該当しません","年金","専業主婦・主夫","300万円未満","300～1,000万円","生活資金","長期的な資産運用として","分配金や利金による収入と共に、値上がり益を追求",,,"Yes","No","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No",,,,,,,,,,,,,,,,,,,,
"a045","佐藤","篤史","サトウ","アツシ","日本",1989,12,12,"男性","0479777778","2828081","千葉県","柏市","光ケ丘2-4-305",,,50,0,,,,,,,,,"1年未満","3年未満","1年未満","5年以上","5年未満","5年以上","1年未満","無し","該当しません","不動産収入","会社員（正社員）","300万円未満","300～1,000万円","余裕資金","その他","元本の安全性重視",,,"Yes","Yes","No","No","Yes","No","Yes","No","No","Yes","No","No","No","No",,,,,,,,,,,,,,,,,,,,
"a046","西村","哲也","ニシムラ","テツヤ","日本",1989,3,25,"男性","0351553947","1692279","東京都","台東区","千束3-3-11",,,50,50,,,,,,,,,"なし","なし","なし","5年未満","なし","1年未満","なし","無し","該当しません","無し","定年退職","500～1,000万円","300～1,000万円","準備資金","その他","元本の安全性重視",,,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes",,,,,,,,,,,,,,,,,,,,
"a047","鍵本","勇希","カギモト","ユウキ","日本",1975,8,12,"男性","09022078571","1534534","東京都","府中市","是政3-2-12",,,100,100,,,,,,,,,"1年未満","3年未満","1年未満","3年未満","1年未満","5年以上","3年未満","無し","該当しません","年金","自由業","300万円未満","300～1,000万円","準備資金","短期的な値動きによる利益獲得","利回り・値上がり益を追求",,,"No","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No",,,,,,,,,,,,,,,,,,,,
"a048","山崎","健","ヤマザキ","ケン","日本",1973,8,9,"男性","0439131342","2879659","千葉県","千葉市中央区","中央2-1-7","ヴェルビュ103",,50,50,,,,,,,,,"1年未満","3年未満","5年未満","5年未満","なし","なし","5年未満","無し","該当しません","事業収入","会社員（契約社員）","300～500万円","5,000～万円～1億円","生活資金","長期的な資産運用として","分配金による安定的な収入重視",,,"Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes",,,,,,,,,,,,,,,,,,,,
"a049","松下","一郎","マツシタ","イチロウ","日本",1983,5,28,"男性","05029821711","1332627","東京都","足立区","伊興1-1-4",,,50,50,,,,,,,,,"3年未満","5年以上","3年未満","5年以上","なし","5年以上","1年未満","無し","該当しません","その他","自営業","300万円未満","3,000万円～5,000万円","余裕資金","長期的な資産運用として","分配金や利金による収入と共に、値上がり益を追求",,,"No","Yes","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes",,,,,,,,,,,,,,,,,,,,
"a050","田島","正行","タジマ","マサユキ","日本",1993,2,21,"男性","09058528699","4535294","愛知県","豊橋市","佐藤1-2-14",,,10,10,,,,,,,,,"1年未満","なし","なし","5年以上","1年未満","1年未満","5年未満","無し","該当しません","不動産収入","大学生・大学院生","500～1,000万円","3,000万円～5,000万円","準備資金","短期的な値動きによる利益獲得","分配金による安定的な収入重視",,,"Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",,,,,,,,,,,,,,,,,,,,
